Year,Mileage,Price
2017,76080,18900
2020,34862,20939
2015,62886,14975
2021,1207,28400
2021,1091,31675
2018,33055,16420
2018,39134,19888
2018,9394,29995
2017,30370,19934
2017,66568,19295
2013,87426,11399
2012,109608,8591
2014,72693,13900
2015,36690,15988
2014,31761,15995
2012,78786,13991
2008,132400,8998
2014,54245,9995
2014,81673,13995
2004,199000,3704
2005,159830,3800
2004,112887,4495
1999,131553,1500
2005,153709,NA
2001,54473,5995
2004,211416,2200
2004,120441,6950
2003,134374,3995
2000,38026,7995
2001,110182,3990
2003,151589,NA
2000,81153,5995
1999,166800,3999
1999,155694,NA
2001,113502,4495
1999,131707,NA
1998,130000,NA
2002,148910,3988
2002,131681,4520
2001,91306,5795
2005,141244,4500
2005,153709,NA
2004,127850,2350
2001,161242,4500
2002,166521,3999
1999,115378,2450
2004,138413,4699
2001,125917,4999
1999,110398,4495
2000,81153,5995
2001,169535,2998
2000,38026,7995
2001,110182,3990
2004,167000,3100
2003,98900,4450
2003,336209,3999
2004,199000,3704
2004,168776,5888
